Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
Software Engineer I,Best Buy,Game / AR / VR,"Key Responsibilities Independently complete small- to medium-sized features and defects Participate in team planning activities Able to triage simple issues independently, and more complex issues with some assistance Participate in technical design and review of features, with guidance Consistently follow best practices and guidelines Help to mentor new team members Know how to prioritize your own work Understand the business supported by your applications Proactively communicate status and iss…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-21,Adzuna
Software Engineer in Test,Lucidity,Backend / API,"Role : SDET Location : Bangalore/ Remote (first month of joining and 1 week per quarter to be onsite) Experience : 2-8 Years Position : Full Time About us Lucidity is a rapidly growing company with a first of its kind and impactful product in the cloud storage. Joining Lucidity offers the opportunity to work on cutting-edge technology, solve real-world problems for major enterprises, and be part of a company that is reshaping the future of cloud storage. We were also awarded Best Infra and Dev …","C, R, Unity",Not Specified,Not Disclosed,India,Remote,2026-05-17,Adzuna
Software Engineer in Test,Arcana,Game / AR / VR,"We are looking for a meticulous SDET who will be responsible for the design and implementation of automated tests and test environments for Arcana. The engineer must have a passion for diving into data and technology, be a problem solver, and have a desire to improve software quality within a team environment. This role is critical in ensuring technology functions efficiently and effectively, minimizes errors, and helps meet software quality goals. Responsibilities : Collaborate with various te…","C, Go, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-26,Adzuna
Principal Software Engineer,ANSR Summit Consulting,Game / AR / VR,"Role and Responsibilities: Own the definition, design, development, delivery and quality for large feature sets, subsystems, or products. Deliver highly scalable, available, and fault-tolerant production applications. Help prevent and investigate production issues. Build architecture design, ensure the quality of architecture and design of systems, influence product roadmap, and take ownership and responsibility over new projects. Lead code/design reviews to ensure smooth daily operations and a…","C, Scala, R",Lead/Principal (8+ yrs),Not Disclosed,Gurgaon,Onsite,2026-05-12,Adzuna
Software Engineer II,Best Buy,Game / AR / VR,"Key Responsibilities Contribute to the delivery of complex solutions, breaking down big problems into smaller pieces Actively participate in team planning activities Help ensure the quality and integrity of the SDLC for their team and identify opportunities for improvement in how the team works, through usage of recommended tools and practices. Able to triage complex issues independently Aware of the technology landscape, help to plan delivery of coarse-grained business needs spanning multiple …","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-22,Adzuna
Senior Software Engineer,Bristol Myers Squibb,AI / ML / Data Science,"Position Summary: Join the Bristol Myers Squibb Cloud and AI Enablement team to design and deliver cloud native solutions in AWS, Azure, and GCP. Partner with functional colleagues to understand challenges and build solutions that solve them. Work alongside cloud, data, and AI technical colleagues to research and apply cutting-edge technologies. Responsibilities:? Partner with other cloud developers, data engineers, AI/ML specialists, and data scientists to design, develop, and implement cloud …","C, R, AWS, Azure, GCP",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-26,Adzuna
Remote Software Engineer (Ruby),Turing,AI / ML / Data Science,"About the projects: We are building LLM evaluation and training datasets to train LLM to work on realistic software engineering problems. One of our approaches, in this project, is to build verifiable SWE tasks based on public repository histories in a synthetic approach with human-in-the-loop; while expanding the dataset coverage to different types of tasks in terms of programming language, difficulty level, and etc. About the Role: We are looking for experienced software engineers (tech lead …","C, Ruby, R, LLM",Lead/Principal (8+ yrs),Not Disclosed,Mumbai,Remote,2026-05-12,Adzuna
Software Engineering Associate Advisor,Evernorth,Game / AR / VR,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Software Engineering Advisor Position Overview: The job profile for this position is Software Engineering Advisor, which is a Band 4 Contributor Career Track Role. Excited to grow your car…","C, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-15,Adzuna
Senior Software Engineering Manager,FM India,Game / AR / VR,"Role Title: Senior Software Engineering Manager Position Summary: This role is a player/coach manager and a contributing member of multiple technology teams. It oversees technology delivery of their teams, which may be comprised of full-time technologists, contingent workers, and/or vendor partners. This role guides technology direction and leads technical initiatives at an organization level and across product teams. They are the quality gatekeeper of their teams and ensures FM development, se…","C, R, ROS",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-04,Adzuna
Software Engineer Level 3,Costco,Game / AR / VR,"Job Description We are excited to announce an opening for Stibo Step Software Engineer Senior at Costco. Please find the details of the role and its responsibilities. Skills Required: MDM and Stibo STEP, JavaScript, Pub/Sub technologies. Experience Range: 8 Years Job Description: Position Summary We're looking for a passionate expert Stibo STEP engineer eager to solve complex problems at a global scale. At Costco, we're building the next generation of retail technology, and we need talented ind…","Java, C, JavaScript, R",Senior (5+ yrs),Not Disclosed,Hyderabad,Onsite,2026-05-14,Adzuna
